episode,total_reward,avg_energy_saved,avg_comfort_score,avg_wait_time,device_waste_steps,policy
1,-76.0,-4.0875,0.713,0.0842,6,Fixed-Timer
2,-68.0,-2.6025,0.702,0.0927,4,Fixed-Timer
3,-54.5,-3.078,0.759,0.0692,5,Fixed-Timer
4,-27.0,-0.3795,0.734,0.0707,3,Fixed-Timer
5,-97.5,-5.382,0.669,0.0825,7,Fixed-Timer
6,-80.5,-2.5995,0.728,0.0775,11,Fixed-Timer
7,-95.5,-4.6725,0.688,0.0815,10,Fixed-Timer
8,-121.5,-8.787,0.645,0.076,5,Fixed-Timer
9,-182.0,-10.2765,0.615,0.1095,7,Fixed-Timer
10,-14.0,-1.2345,0.718,0.0532,7,Fixed-Timer
11,-155.5,-5.769,0.69,0.1137,11,Fixed-Timer
12,-86.0,-3.03,0.715,0.0723,11,Fixed-Timer
13,-71.5,-4.5345,0.7,0.0535,9,Fixed-Timer
14,21.5,3.4065,0.79,0.0598,10,Fixed-Timer
15,-77.0,-1.3515,0.752,0.086,10,Fixed-Timer
16,-141.0,-8.3955,0.629,0.097,5,Fixed-Timer
17,-20.0,4.974,0.837,0.0633,18,Fixed-Timer
18,129.5,7.4025,0.847,0.0505,2,Fixed-Timer
19,-85.5,-4.3905,0.706,0.0775,10,Fixed-Timer
20,-105.0,-5.6835,0.713,0.079,10,Fixed-Timer
21,-188.5,-7.935,0.666,0.1077,14,Fixed-Timer
22,-11.5,1.5135,0.771,0.0673,7,Fixed-Timer
23,-118.0,-6.159,0.689,0.094,10,Fixed-Timer
24,-125.0,-6.9255,0.646,0.0927,7,Fixed-Timer
25,-184.0,-12.534,0.56,0.0945,4,Fixed-Timer
26,-120.0,-6.057,0.7,0.085,11,Fixed-Timer
27,-101.5,-3.2715,0.738,0.0752,15,Fixed-Timer
28,-71.5,-2.364,0.721,0.0855,7,Fixed-Timer
29,-190.5,-13.0365,0.546,0.1035,3,Fixed-Timer
30,-77.5,-2.331,0.701,0.082,6,Fixed-Timer
31,-133.5,-5.5695,0.681,0.0957,9,Fixed-Timer
32,-29.0,-2.1495,0.712,0.0758,7,Fixed-Timer
