episode,total_reward,avg_energy_saved,avg_comfort_score,avg_wait_time,epsilon
1,-289.0,-5.37,0.733,0.1602,0.995
2,-334.5,-6.24,0.732,0.179,0.990025
3,-217.5,-3.903,0.792,0.1413,0.985075
4,-158.5,-3.516,0.729,0.112,0.98015
5,-243.5,-5.235,0.724,0.1328,0.975249
6,-270.0,-5.8305,0.733,0.1542,0.970373
7,-217.0,-3.6255,0.786,0.1303,0.965521
8,-304.0,-5.7345,0.702,0.1645,0.960693
9,-232.5,-4.95,0.785,0.1338,0.95589
10,-298.5,-6.021,0.787,0.1677,0.95111
11,-258.0,-5.7585,0.642,0.1425,0.946355
12,-287.0,-4.062,0.756,0.1573,0.941623
13,-250.5,-4.1055,0.786,0.149,0.936915
14,-231.5,-4.971,0.723,0.1297,0.93223
15,-257.5,-3.8595,0.825,0.1545,0.927569
16,-224.5,-4.9215,0.735,0.1298,0.922931
17,-196.5,-6.2955,0.722,0.1242,0.918316
18,-254.5,-5.754,0.655,0.1445,0.913725
19,-163.5,-4.356,0.726,0.1075,0.909156
20,-278.5,-5.4795,0.709,0.1608,0.90461
21,-225.0,-4.734,0.698,0.1353,0.900087
22,-254.5,-5.421,0.746,0.1475,0.895587
23,-310.0,-4.668,0.726,0.1725,0.891109
24,-252.0,-4.5435,0.772,0.1527,0.886654
25,-227.0,-5.3865,0.733,0.1315,0.88222
26,-202.5,-4.599,0.769,0.127,0.877809
27,-97.5,-3.1695,0.759,0.0842,0.87342
28,-208.0,-4.236,0.785,0.1298,0.869053
29,-280.0,-4.9785,0.745,0.1615,0.864708
30,-241.0,-4.926,0.703,0.1447,0.860384
31,-169.5,-4.1505,0.735,0.1208,0.856082
32,-228.0,-5.412,0.701,0.1318,0.851802
33,-240.0,-5.7435,0.703,0.1437,0.847543
34,-234.5,-5.3655,0.784,0.1445,0.843305
35,-105.0,-4.5555,0.798,0.0955,0.839089
36,-117.5,-0.8295,0.745,0.101,0.834893
37,-118.0,-1.221,0.828,0.1017,0.830719
38,-234.0,-4.4085,0.694,0.1415,0.826565
39,-165.5,-2.97,0.761,0.109,0.822432
40,-174.0,-3.7515,0.788,0.1153,0.81832
41,-220.0,-3.555,0.753,0.1297,0.814229
42,-96.5,-2.9355,0.8,0.0865,0.810157
43,-184.0,-4.9965,0.769,0.118,0.806107
44,-166.5,-2.6565,0.828,0.1242,0.802076
45,-223.5,-4.923,0.761,0.1375,0.798066
46,-212.0,-3.2715,0.763,0.1328,0.794075
47,-161.0,-3.732,0.785,0.1085,0.790105
48,-197.5,-4.464,0.754,0.1323,0.786154
49,-164.5,-3.357,0.788,0.118,0.782224
50,-110.5,-3.0975,0.829,0.1,0.778313
51,-125.5,-3.366,0.739,0.1033,0.774421
52,-178.5,-5.0655,0.718,0.1145,0.770549
53,-229.5,-4.761,0.77,0.1435,0.766696
54,-146.5,-2.6295,0.816,0.115,0.762863
55,-123.5,-3.0615,0.795,0.1035,0.759048
56,-233.5,-4.146,0.76,0.142,0.755253
57,-119.0,-1.9485,0.813,0.101,0.751477
58,-179.0,-3.204,0.703,0.1313,0.747719
59,-88.5,1.1865,0.872,0.087,0.743981
60,-170.5,-3.186,0.781,0.1175,0.740261
61,-190.5,-4.3005,0.733,0.128,0.73656
